,Name,Age,Civil_Status,Annual_Income,Profession,Blood_Type,Height,Distance_to_Border,Date_Time_Record
0,Elena Romanov,54,Married,100000,Government doctor,O,185.81427975830832,7.790331719553761,1982-11-23 11:00:00.000000
1,Nikolai Kozlov,60,Divorced,100000,Government cook,O,170.52160516613793,22.825996424359147,1982-12-01 07:00:00.000000
2,Konstantin Smirnov,60,Married,100000,Government surveillance assistance,AB,189.39468572517816,3.408942585460339,1982-12-01 21:00:00.000000
3,Olga Novikov,60,Married,100000,Government surveillance assistance,O,188.49161268062198,21.275191912513876,1982-12-15 06:00:00.000000
4,Vladimir Bogdanov,60,Married,100000,Government surveillance assistance,O,162.29396729298898,11.981236202760044,1982-12-16 18:00:00.000000
5,Igor Egorov,60,Widowed,100000,Government surveillance assistance,O,180.62421343635438,57.27326787759971,1982-12-28 00:00:00.000000
6,Mikhail Sorokin,60,Single,100000,Government cook,AB,183.79463753137736,15.356160896470364,1982-12-28 07:00:00.000000
7,Pavel Antonov,60,Married,100000,Government doctor,A,170.35448324736564,17.84374480690496,1982-12-31 17:00:00.000000
8,Konstantin Ilyin,54,Divorced,100000,Government surveillance assistance,O,175.36701072561388,2.785980650961838,1983-01-01 07:00:00.000000
9,Nikolai Lebedev,42,Married,100000,Government social researcher,AB,189.6770188461969,14.131135471131778,1983-01-08 23:00:00.000000
10,Ivan Bogdanov,60,Single,100000,Government surveillance assistance,AB,178.53800283605312,384.2931920951971,1983-01-09 17:00:00.000000
11,Yuri Ivanov,60,Widowed,100000,Government social researcher,B,171.29046807550415,21.576549806470965,1983-01-10 15:00:00.000000
12,Mikhail Novikov,48,Divorced,100000,Government history writer,O,158.5152399532356,9.205253596981374,1983-01-21 08:00:00.000000
13,Mikhail Zaitsev,60,Divorced,100000,Government surveillance assistance,A,160.32302486364014,2.797024150521786,1983-02-23 01:00:00.000000
14,Svetlana Mikhailov,48,Single,100000,Government social researcher,A,160.7479069273504,16.28531872338361,1983-02-28 06:00:00.000000
15,Ksenia Ivanov,60,Single,100000,Government surveillance assistance,A,176.01479632419597,33.0650277051802,1983-02-28 13:00:00.000000
16,Ivan Sorokin,42,Widowed,100000,Government history writer,AB,153.45955989508934,10.766855512647616,1983-03-01 11:00:00.000000
17,Elena Bogdanov,60,Divorced,100000,Government doctor,O,175.04739493928747,22.842622551256447,1983-03-03 09:00:00.000000
18,Alexei Egorov,60,Married,100000,Government surveillance assistance,B,159.39179797249403,1.6022291318317978,1983-03-11 07:00:00.000000
19,Andrei Popov,60,Widowed,100000,Government surveillance assistance,A,176.4663804467939,49.02778967830008,1983-03-16 01:00:00.000000
20,Maxim Bogdanov,60,Single,100000,Government surveillance assistance,O,161.07278328422973,13.33105948028942,1983-04-25 04:00:00.000000
